loop:1,season:59346150,P_air:0.04753412020917437,P_ice:0.009807294804323418,P_rego:0.04265858498650221,T_sub:163.96416065561
79,247.0672513731416,0,246.1766931567923,0,243.7151080659079,0
80,247.2314998020684,0,246.2233805231605,0,243.9831833859089,0
81,247.3802568657627,0,246.254882997362,0,244.2367561994955,0
82,247.5134772319798,0,246.2711909692982,0,244.4757492517875,0
83,247.6311203031492,0,246.2722994587493,0,244.7000897305334,0
84,247.7331502288451,0,246.2582081169734,0,244.9097092883664,0
85,247.8195359166843,0,246.2289212267947,0,245.1045440636036,0
86,247.8902510417558,0,246.1844477012694,0,245.2845346996712,0
87,247.9452740546048,0,246.1248010809476,0,245.4496263631592,0
88,247.9845881877624,0,246.0499995297163,0,245.5997687604982,0
89,248.0081814608338,0,245.9600658292617,0,245.7349161532649,0
90,248.0160466841256,0,245.8550273721059,0,245.8550273721059,0
91,248.0081814608338,0,245.7349161532649,0,245.9600658292617,0
92,247.9845881877624,0,245.5997687604982,0,246.0499995297163,0
93,247.9452740546048,0,245.4496263631592,0,246.1248010809476,0
94,247.8902510417558,0,245.2845346996712,0,246.1844477012694,0
95,247.8195359166843,0,245.1045440636036,0,246.2289212267947,0
96,247.7331502288451,0,244.9097092883664,0,246.2582081169734,0
97,247.6311203031492,0,244.7000897305334,0,246.2722994587493,0
98,247.5134772319798,0,244.4757492517875,0,246.2711909692982,0
99,247.3802568657627,0,244.2367561994955,0,246.254882997362,0
100,247.2314998020684,0,243.9831833859089,0,246.2233805231605,0
101,247.0672513731416,0,243.7151080659079,0,246.1766931567923,0
102,246.8875616311034,0,243.4326119127041,0,246.1148351345587,0
103,246.6924853271535,0,243.1357809885543,0,246.0378253102023,0
104,246.4820818679108,0,242.8247056962323,0,245.9456871268595,0
105,246.2564151835404,0,242.4994806535641,0,245.8384485119945,0
106,246.0155532978513,0,242.1602042960022,0,245.7161415002831,0
107,245.759567076906,0,241.8069776917268,0,245.5788010689393,0
108,245.4885272756188,0,241.4399016329552,0,245.4264622491675,0
109,245.2024993715462,0,241.0590713273267,0,245.2591548375705,0
110,244.9015378446393,0,240.6645703098853,0,245.0768973280689,0
111,244.5856837407795,0,240.2564679868722,0,244.8796944755325,0
112,244.2549653026722,0,239.8348209722379,0,244.6675386520249,0
113,243.9093943149488,0,239.399669425153,0,244.4404062040387,0
114,243.5489576332113,0,238.95102834794,0,244.1982487702479,0
115,243.1736061374889,0,238.4888765408535,0,243.9409822565831,0
116,242.7832410574711,0,238.0131430476661,0,243.668473303882,0
117,242.3776961101267,0,237.5236894325401,0,243.3805215913501,0
118,241.9567134747287,0,237.0202859146436,0,243.0768360117261,0
119,241.5199111528009,0,236.5025789211587,0,242.7570023049126,0
120,241.0667383077733,0,235.9700466265998,0,242.4204387964507,0
121,240.5964135815961,0,235.4219373087396,0,242.0663352996663,0
122,240.1078389763996,0,234.8571823956276,0,241.6935678837366,0
123,239.5994780611993,0,234.2742707046555,0,241.3005784526756,0
124,239.0691811880067,0,233.6710571714093,0,240.8852021211178,0
125,238.5139307282735,0,233.0444445010908,0,240.4444160339722,0
126,237.9294628045521,0,232.3897429251415,0,239.9739673236677,0
127,237.3096935956828,0,231.6988681589193,0,239.4678111443006,0
128,236.6458268100627,0,230.9528315505169,0,238.9172424385617,0
129,235.9249237596431,0,230.0712595818509,0,238.3095233240871,0
130,235.1275340611676,0,229.001401204512,0,237.6256729834931,0
131,234.2236049607426,0,227.8057313129443,0,236.8369020173137,0
132,233.1650593374119,0,226.4267461590417,0,235.8992503250122,0
133,231.8717063462905,0,224.7942179933371,0,234.7490597584082,0
134,230.1882592206412,0,222.8650089475421,0,233.3322546206217,0
135,228.2125745823294,0,220.8178060680254,0,231.7872004840941,0
136,226.1946808248753,0,218.7345921034895,0,230.1038244670866,0
137,224.1412807244424,0,216.6183228542538,0,228.1824468183673,0
138,222.0532752742674,0,214.4697367951657,0,226.2203013524849,0
139,219.9313517787932,0,212.2895346173843,0,224.2229604321149,0
140,217.7762117669897,0,210.0784351655631,0,222.1910872005991,0
141,215.5885752797336,0,207.8371752291146,0,220.1253638533089,0
142,213.3691785484153,0,205.566507080484,0,218.0264891925436,0
143,211.118770876332,0,203.2671953007366,0,215.8951754694074,0
144,208.8381113323505,0,200.9400134174948,0,213.7321450376867,0
145,206.5279657686299,0,198.5857408778825,0,211.538127342384,0
146,204.1891045413322,0,196.2051607417006,0,209.3138566281226,0
147,201.8223011009977,0,193.799058259793,0,207.0600705323813,0
148,199.4283314186541,0,191.3682202959815,0,204.7775095219357,0
149,197.0079740985886,0,188.9134354296551,0,202.4669170095784,0
150,194.5620110977639,0,186.4354946167102,0,200.1290400288177,0
151,192.0912296847555,0,184.2111493222075,0,197.7646309021303,0
152,189.5964299611361,0,181.9651641296121,0,195.3744533555673,0
153,187.0784582126973,0,179.6982982044764,0,192.9593104770648,0
154,184.5383369970034,0,177.4114663283636,0,190.5201622147857,0
155,181.9776092894657,0,175.1061067405214,0,188.0584932050229,0
156,179.3981785254117,0,172.7845191976073,0,185.5766508177988,0
157,176.7928911570563,0,170.4439440767832,0,183.0719598768009,0
158,174.0716739610614,0,163.9641782841664,208.6329427024501,180.480267073357,0
159,170.6701157260667,0,163.9641782841664,1252.599836666919,177.3487624714311,0
160,163.96416065561,844.391235640254,163.9641782841664,2464.630917630894,171.4185138859928,0
161,163.96416065561,1140.022235846277,163.9641782841664,2672.585693040905,171.2392876656862,0
162,163.96416065561,1329.300829417522,163.9641782841664,2843.1163177146,171.0564264082754,0
163,163.96416065561,1504.758431864079,163.9641782841664,2990.486166144572,170.8699858150707,0
164,163.96416065561,1672.981142361386,163.9641782841664,3120.866670154322,170.680022677681,0
165,163.96416065561,1836.746041252939,163.9641782841664,3237.601157765302,170.4865948607203,0
166,163.96416065561,1997.424486528955,163.9641782841664,3342.768074707626,170.2897612841742,0
167,163.96416065561,2155.777943940189,163.9641782841664,3437.813849405838,170.0895819054596,0
168,163.96416065561,2312.258626726139,163.9641782841664,3523.849197662434,169.8861177011493,0
169,163.96416065561,2467.157269438804,163.9641782841664,3601.795437272933,169.6794306484146,0
170,163.96416065561,2620.680710918711,163.9641782841664,3672.456474296523,169.4695837061336,0
171,163.96416065561,2772.992558472837,163.9641782841664,3736.550722546652,169.2566407957167,0
172,163.96416065561,2924.216167518397,163.9641782841664,3794.698202802248,169.0406667816385,0
173,163.96416065561,3074.453165625527,163.9641782841664,3847.466274897552,168.8217274516757,0
174,163.96416065561,3223.773270607654,163.9641782841664,3895.443943070904,168.599889496868,0
175,163.96416065561,3372.205176465979,163.9641782841664,3939.063405127592,168.3752204912056,0
176,163.96416065561,3519.711511200203,163.9641782841664,3978.660605471362,168.1477888710452,0
177,163.96416065561,3666.121739359719,163.9641782841664,4014.426627596325,167.9176639142608,0
178,163.96416065561,3811.040378101151,163.9641782841664,4046.354572260977,167.684915719143,0
179,163.96416065561,3954.197148294397,163.9641782841664,4074.741941974221,167.4496151830468,0
180,163.96416065561,4112.819325734369,163.9641782841664,4112.83531254133,167.2118339807974,0
